date,Burberry,Gucci,Yves Saint Laurent,Louis Vuitton,Alexander McQueen,isPartial
2019-09-22,3,21,0,12,0,False
2019-09-29,3,21,0,12,1,False
2019-10-06,3,21,1,12,1,False
2019-10-13,3,23,0,13,0,False
2019-10-20,4,29,1,13,1,False
2019-10-27,4,22,0,13,0,False
2019-11-03,4,23,0,13,1,False
2019-11-10,5,21,0,13,1,False
2019-11-17,5,23,1,13,1,False
2019-11-24,6,27,1,17,1,False
2019-12-01,7,27,0,17,1,False
2019-12-08,6,26,1,15,1,False
2019-12-15,6,29,1,19,1,False
2019-12-22,6,35,1,25,1,False
2019-12-29,5,27,0,16,1,False
2020-01-05,4,24,0,14,1,False
2020-01-12,4,21,0,14,1,False
2020-01-19,4,20,0,13,1,False
2020-01-26,3,20,0,13,1,False
2020-02-02,3,19,0,13,0,False
2020-02-09,4,22,0,12,1,False
2020-02-16,3,22,0,12,1,False
2020-02-23,3,20,0,12,1,False
2020-03-01,3,21,0,12,1,False
2020-03-08,2,19,0,11,1,False
2020-03-15,2,14,0,9,1,False
2020-03-22,2,14,0,9,1,False
2020-03-29,2,14,0,9,1,False
2020-04-05,2,17,0,9,1,False
2020-04-12,3,19,0,11,1,False
2020-04-19,3,18,0,11,1,False
2020-04-26,3,19,0,12,1,False
2020-05-03,3,18,0,12,1,False
2020-05-10,3,19,1,13,1,False
2020-05-17,3,19,0,12,2,False
2020-05-24,3,19,1,12,2,False
2020-05-31,3,18,0,13,1,False
2020-06-07,3,19,0,12,1,False
2020-06-14,3,21,0,13,2,False
2020-06-21,4,21,0,14,1,False
2020-06-28,3,20,0,12,2,False
2020-07-05,3,21,0,14,3,False
2020-07-12,4,20,0,15,2,False
2020-07-19,3,19,1,14,2,False
2020-07-26,3,20,0,14,2,False
2020-08-02,3,19,0,14,1,False
2020-08-09,3,20,0,13,2,False
2020-08-16,3,18,0,11,2,False
2020-08-23,3,18,0,13,2,False
2020-08-30,3,17,1,12,1,False
2020-09-06,3,18,1,13,2,False
2020-09-13,3,17,0,12,1,False
2020-09-20,4,20,0,14,1,False
2020-09-27,4,18,1,13,2,False
2020-10-04,4,19,0,14,2,False
2020-10-11,4,19,1,13,2,False
2020-10-18,4,18,0,13,2,False
2020-10-25,4,17,0,12,2,False
2020-11-01,3,15,0,9,1,False
2020-11-08,3,17,0,13,2,False
2020-11-15,5,100,0,14,2,False
2020-11-22,5,37,1,17,2,False
2020-11-29,5,26,1,16,2,False
2020-12-06,5,25,1,16,2,False
2020-12-13,6,24,1,16,3,False
2020-12-20,7,31,1,20,3,False
2020-12-27,6,28,0,18,3,False
2021-01-03,4,21,0,15,3,False
2021-01-10,4,20,1,14,2,False
2021-01-17,3,21,1,15,2,False
2021-01-24,4,18,0,13,2,False
2021-01-31,3,19,1,14,2,False
2021-02-07,4,19,0,14,2,False
2021-02-14,4,20,1,14,2,False
2021-02-21,4,21,1,14,2,False
2021-02-28,4,20,1,12,2,False
2021-03-07,4,22,0,13,2,False
2021-03-14,4,22,1,14,3,False
2021-03-21,4,21,1,14,2,False
2021-03-28,4,22,0,12,2,False
2021-04-04,4,21,0,14,3,False
2021-04-11,4,24,0,14,2,False
2021-04-18,4,21,0,14,2,False
2021-04-25,5,22,0,14,3,False
2021-05-02,4,21,1,14,2,False
2021-05-09,5,21,0,14,2,False
2021-05-16,5,21,0,14,2,False
2021-05-23,4,20,0,13,2,False
2021-05-30,4,24,0,13,4,False
2021-06-06,4,20,1,14,3,False
2021-06-13,4,22,0,13,2,False
2021-06-20,4,21,1,14,2,False
2021-06-27,4,20,1,13,2,False
2021-07-04,4,18,0,14,2,False
2021-07-11,4,18,0,14,3,False
2021-07-18,4,20,0,13,2,False
2021-07-25,4,24,1,14,2,False
2021-08-01,4,21,0,14,2,False
2021-08-08,4,21,1,14,3,False
2021-08-15,4,19,0,14,2,False
2021-08-22,4,17,0,14,2,False
2021-08-29,4,17,0,13,2,False
2021-09-05,4,18,0,14,2,False
2021-09-12,4,17,1,14,2,False
2021-09-19,4,16,1,12,1,False
2021-09-26,4,18,0,14,2,False
2021-10-03,5,18,1,13,2,False
2021-10-10,4,18,0,15,2,False
2021-10-17,4,18,0,14,2,False
2021-10-24,5,22,0,13,2,False
2021-10-31,4,27,1,14,1,False
2021-11-07,5,30,1,15,2,False
2021-11-14,6,38,1,16,2,False
2021-11-21,8,62,1,19,3,False
2021-11-28,8,53,0,21,4,False
2021-12-05,7,44,1,17,3,False
2021-12-12,7,37,1,18,2,False
2021-12-19,8,43,1,20,3,False
2021-12-26,7,36,1,20,4,False
2022-01-02,4,26,1,16,3,False
2022-01-09,4,26,1,15,3,False
2022-01-16,5,25,1,15,2,False
2022-01-23,4,23,0,15,2,False
2022-01-30,4,26,1,14,2,False
2022-02-06,5,29,0,15,2,False
